Date,VIX High
2004-08-17,17.28
2004-08-18,17.55
2004-08-19,17.55
2004-08-20,17.04
2004-08-23,16.71
2004-08-24,15.81
2004-08-25,15.76
2004-08-26,15.22
2004-08-27,15.02
2004-08-30,15.58
2004-08-31,15.85
2004-09-01,15.39
2004-09-02,15.05
2004-09-03,14.38
2004-09-07,14.64
2004-09-08,14.31
2004-09-09,14.41
2004-09-10,14.23
2004-09-13,13.78
2004-09-14,13.89
2004-09-15,14.67
2004-09-16,14.66
2004-09-17,14.43
2004-09-20,15.29
2004-09-21,15.98
2004-09-22,15.3
2004-09-23,15.08
2004-09-24,14.94
2004-09-27,15.09
2004-09-28,14.84
2004-09-29,14.14
2004-09-30,13.67
2004-10-01,13.11
2004-10-04,13.45
2004-10-05,14.19
2004-10-06,14.1
2004-10-07,14.66
2004-10-08,15.52
2004-10-11,15.27
2004-10-12,15.69
2004-10-13,15.63
2004-10-14,16.56
2004-10-15,16.49
2004-10-18,16.16
2004-10-19,16.32
2004-10-20,15.53
2004-10-21,15.19
2004-10-22,15.41
2004-10-25,16.71
2004-10-26,16.87
2004-10-27,16.53
2004-10-28,16.05
2004-10-29,16.29
2004-11-01,16.76
2004-11-02,16.32
2004-11-03,15.18
2004-11-04,14.02
2004-11-05,14.1
2004-11-08,14.48
2004-11-09,13.96
2004-11-10,13.51
2004-11-11,13.12
2004-11-12,13.48
2004-11-15,14.06
2004-11-16,13.67
2004-11-17,13.39
2004-11-18,13.29
2004-11-19,13.83
2004-11-22,13.71
2004-11-23,12.91
2004-11-24,12.89
2004-11-26,12.9
2004-11-29,13.69
2004-11-30,13.38
2004-12-01,13.12
2004-12-02,13.04
2004-12-03,13.06
2004-12-06,13.4
2004-12-07,13.74
2004-12-08,13.68
2004-12-09,13.71
2004-12-10,13.15
2004-12-13,12.61
2004-12-14,12.97
2004-12-15,12.88
2004-12-16,12.59
2004-12-17,12.75
2004-12-20,12.34
2004-12-21,12
2004-12-22,11.71
2004-12-23,11.64
2004-12-27,12.16
2004-12-28,12.4
2004-12-29,11.79
2004-12-30,12.61
2004-12-31,13.29
2005-01-03,14.23
2005-01-04,14.45
2005-01-05,14.09
2005-01-06,14.09
2005-01-07,13.51
2005-01-10,13.93
2005-01-11,13.68
2005-01-12,13.94
2005-01-13,12.86
2005-01-14,12.82
2005-01-18,13.15
2005-01-19,13.21
2005-01-20,14.11
2005-01-21,14.46
2005-01-24,14.75
2005-01-25,14.36
2005-01-26,13.84
2005-01-27,13.57
2005-01-28,13.56
2005-01-31,13.63
2005-02-01,13.02
2005-02-02,12.06
2005-02-03,12.12
2005-02-04,11.97
2005-02-07,11.75
2005-02-08,11.67
2005-02-09,12.02
2005-02-10,11.99
2005-02-11,11.82
2005-02-14,11.86
2005-02-15,11.76
2005-02-16,11.5
2005-02-17,11.91
2005-02-18,12.12
2005-02-22,13.2
2005-02-23,12.94
2005-02-24,12.51
2005-02-25,11.78
2005-02-28,12.5
2005-03-01,12.1
2005-03-02,12.91
2005-03-03,13.07
2005-03-04,12.5
2005-03-07,12.6
2005-03-08,12.5
2005-03-09,12.72
2005-03-10,12.97
2005-03-11,12.98
2005-03-14,12.99
2005-03-15,13.22
2005-03-16,13.81
2005-03-17,13.67
2005-03-18,13.67
2005-03-21,13.98
2005-03-22,14.28
2005-03-23,14.89
2005-03-24,13.88
2005-03-28,14.01
2005-03-29,14.68
2005-03-30,14.47
2005-03-31,14.1
2005-04-01,14.38
2005-04-04,14.76
2005-04-05,14.11
2005-04-06,13.76
2005-04-07,12.96
2005-04-08,12.65
2005-04-11,12.46
2005-04-12,12.83
2005-04-13,13.44
2005-04-14,14.6
2005-04-15,18.05
2005-04-18,18.59
2005-04-19,15.97
2005-04-20,17.25
2005-04-21,16.22
2005-04-22,16.32
2005-04-25,15.47
2005-04-26,15.15
2005-04-27,15.93
2005-04-28,16.87
2005-04-29,16.92
2005-05-02,16.01
2005-05-03,15.31
2005-05-04,15.38
2005-05-05,15.82
2005-05-06,14.06
2005-05-09,14.56
2005-05-10,15.11
2005-05-11,15.8
2005-05-12,16.23
2005-05-13,17.7
2005-05-16,16.87
2005-05-17,16.21
2005-05-18,14.13
2005-05-19,14.02
2005-05-20,13.73
2005-05-23,13.45
2005-05-24,13.3
2005-05-25,13.11
2005-05-26,12.38
2005-05-27,12.43
2005-05-31,13.45
2005-06-01,13.34
2005-06-02,12.43
2005-06-03,12.49
2005-06-06,13
2005-06-07,12.43
2005-06-08,12.83
2005-06-09,13.07
2005-06-10,12.4
2005-06-13,12.12
2005-06-14,12.02
2005-06-15,11.96
2005-06-16,11.36
2005-06-17,11.64
2005-06-20,12.53
2005-06-21,11.67
2005-06-22,11.31
2005-06-23,12.13
2005-06-24,12.32
2005-06-27,12.78
2005-06-28,12.31
2005-06-29,11.78
2005-06-30,12.1
2005-07-01,11.92
2005-07-05,12.41
2005-07-06,12.33
2005-07-07,13.92
2005-07-08,12.29
2005-07-11,11.41
2005-07-12,11.37
2005-07-13,11.44
2005-07-14,11.13
2005-07-15,10.9
2005-07-18,11.09
2005-07-19,10.79
2005-07-20,10.94
2005-07-21,11.21
2005-07-22,11.05
2005-07-25,11.28
2005-07-26,11.25
2005-07-27,11.03
2005-07-28,10.58
2005-07-29,11.73
2005-08-01,12.23
2005-08-02,12.03
2005-08-03,12.01
2005-08-04,12.57
2005-08-05,12.92
2005-08-08,13.29
2005-08-09,12.78
2005-08-10,12.56
2005-08-11,12.94
2005-08-12,12.98
2005-08-15,12.99
2005-08-16,13.89
2005-08-17,13.76
2005-08-18,13.88
2005-08-19,13.85
2005-08-22,13.89
2005-08-23,14.05
2005-08-24,14.18
2005-08-25,14.12
2005-08-26,14.2
2005-08-29,14.41
2005-08-30,14.18
2005-08-31,13.63
2005-09-01,13.37
2005-09-02,13.72
2005-09-06,14.18
2005-09-07,13.2
2005-09-08,12.94
2005-09-09,12.65
2005-09-12,11.89
2005-09-13,12.48
2005-09-14,13.26
2005-09-15,13.17
2005-09-16,11.93
2005-09-19,12.46
2005-09-20,12.96
2005-09-21,13.91
2005-09-22,14.39
2005-09-23,13.88
2005-09-26,13.47
2005-09-27,13.46
2005-09-28,12.98
2005-09-29,13.23
2005-09-30,12.44
2005-10-03,12.62
2005-10-04,13.21
2005-10-05,14.58
2005-10-06,15.63
2005-10-07,14.82
2005-10-10,15.61
2005-10-11,15.7
2005-10-12,16.27
2005-10-13,17.19
2005-10-14,16.03
2005-10-17,15.3
2005-10-18,15.4
2005-10-19,15.86
2005-10-20,16.19
2005-10-21,16.27
2005-10-24,16.44
2005-10-25,15.3
2005-10-26,14.88
2005-10-27,16.3
2005-10-28,15.61
2005-10-31,15.39
2005-11-01,15.66
2005-11-02,14.99
2005-11-03,13.23
2005-11-04,13.62
2005-11-07,13.65
2005-11-08,13.61
2005-11-09,13.36
2005-11-10,13.17
2005-11-11,11.96
2005-11-14,12.34
2005-11-15,12.69
2005-11-16,12.68
2005-11-17,12.2
2005-11-18,11.67
2005-11-21,11.38
2005-11-22,11.1
2005-11-23,11.03
2005-11-25,11.24
2005-11-28,11.99
2005-11-29,11.96
2005-11-30,12.13
2005-12-01,12.23
2005-12-02,11.23
2005-12-05,11.68
2005-12-06,11.59
2005-12-07,12.44
2005-12-08,12.41
2005-12-09,12.2
2005-12-12,11.81
2005-12-13,11.42
2005-12-14,10.79
2005-12-15,11.11
2005-12-16,10.75
2005-12-19,11.38
2005-12-20,11.45
2005-12-21,11.07
2005-12-22,10.89
2005-12-23,10.48
2005-12-27,11.65
2005-12-28,11.64
2005-12-29,11.67
2005-12-30,12.07
2006-01-03,12.51
2006-01-04,11.71
2006-01-05,11.84
2006-01-06,11.5
2006-01-09,11.35
2006-01-10,11.39
2006-01-11,11.16
2006-01-12,11.38
2006-01-13,11.61
2006-01-17,12.46
2006-01-18,12.7
2006-01-19,12.34
2006-01-20,14.56
2006-01-23,14.48
2006-01-24,13.83
2006-01-25,13.38
2006-01-26,12.91
2006-01-27,12.33
2006-01-30,12.46
2006-01-31,13.06
2006-02-01,13.03
2006-02-02,13.47
2006-02-03,13.7
2006-02-06,13.43
2006-02-07,13.67
2006-02-08,13.61
2006-02-09,13.15
2006-02-10,13.73
2006-02-13,13.7
2006-02-14,13.15
2006-02-15,12.95
2006-02-16,12.29
2006-02-17,12.21
2006-02-21,12.64
2006-02-22,12.3
2006-02-23,11.97
2006-02-24,12.06
2006-02-27,11.83
2006-02-28,12.36
2006-03-01,12.07
2006-03-02,11.95
2006-03-03,12.1
2006-03-06,12.91
2006-03-07,13.34
2006-03-08,13.34
2006-03-09,12.69
2006-03-10,12.6
2006-03-13,11.75
2006-03-14,11.72
2006-03-15,11.54
2006-03-16,12.05
2006-03-17,12.2
2006-03-20,12.21
2006-03-21,11.89
2006-03-22,11.79
2006-03-23,11.57
2006-03-24,11.48
2006-03-27,11.72
2006-03-28,11.9
2006-03-29,11.57
2006-03-30,11.73
2006-03-31,11.65
2006-04-03,11.62
2006-04-04,11.8
2006-04-05,11.36
2006-04-06,11.74
2006-04-07,12.31
2006-04-10,12.49
2006-04-11,13.06
2006-04-12,13.09
2006-04-13,13
2006-04-17,13.02
2006-04-18,12.55
2006-04-19,11.8
2006-04-20,11.67
2006-04-21,11.98
2006-04-24,12.42
2006-04-25,12.19
2006-04-26,11.79
2006-04-27,12.52
2006-04-28,12.13
2006-05-01,12.59
2006-05-02,12.27
2006-05-03,12.45
2006-05-04,12.16
2006-05-05,11.62
2006-05-08,12.06
2006-05-09,12.15
2006-05-10,12.32
2006-05-11,12.92
2006-05-12,14.26
2006-05-15,15.13
2006-05-16,13.61
2006-05-17,16.26
2006-05-18,17.09
2006-05-19,18.01
2006-05-22,19.62
2006-05-23,18.26
2006-05-24,19.87
2006-05-25,16.67
2006-05-26,15.04
2006-05-30,18.72
2006-05-31,18.09
2006-06-01,16.56
2006-06-02,14.97
2006-06-05,17.14
2006-06-06,18.56
2006-06-07,17.86
2006-06-08,20.75
2006-06-09,18.45
2006-06-12,21.25
2006-06-13,23.81
2006-06-14,23.49
2006-06-15,21.14
2006-06-16,18.13
2006-06-19,18.1
2006-06-20,17.65
2006-06-21,16.72
2006-06-22,16.66
2006-06-23,16.58
2006-06-26,16.61
2006-06-27,16.55
2006-06-28,17
2006-06-29,15.3
2006-06-30,13.47
2006-07-03,13.51
2006-07-05,14.77
2006-07-06,14.04
2006-07-07,14.45
2006-07-10,14.5
2006-07-11,14.68
2006-07-12,14.85
2006-07-13,17.83
2006-07-14,18.79
2006-07-17,18.76
2006-07-18,19.58
2006-07-19,17.62
2006-07-20,16.37
2006-07-21,17.56
2006-07-24,17.08
2006-07-25,15.68
2006-07-26,15.21
2006-07-27,15.39
2006-07-28,14.75
2006-07-31,15.13
2006-08-01,16.15
2006-08-02,14.93
2006-08-03,15.19
2006-08-04,14.91
2006-08-07,15.53
2006-08-08,15.55
2006-08-09,15.41
2006-08-10,15.73
2006-08-11,14.85
2006-08-14,14.43
2006-08-15,13.72
2006-08-16,12.95
2006-08-17,12.72
2006-08-18,12.52
2006-08-21,12.62
2006-08-22,12.42
2006-08-23,12.73
2006-08-24,12.58
2006-08-25,12.47
2006-08-28,12.92
2006-08-29,12.83
2006-08-30,12.35
2006-08-31,12.33
2006-09-01,12.33
2006-09-05,12.86
2006-09-06,13.88
2006-09-07,14.49
2006-09-08,13.8
2006-09-11,13.95
2006-09-12,13.14
2006-09-13,11.56
2006-09-14,12.02
2006-09-15,12.54
2006-09-18,12.41
2006-09-19,12.69
2006-09-20,11.75
2006-09-21,12.6
2006-09-22,13.28
2006-09-25,13.41
2006-09-26,12.23
2006-09-27,11.9
2006-09-28,12.06
2006-09-29,12.1
2006-10-02,12.72
2006-10-03,12.91
2006-10-04,12.64
2006-10-05,12.06
2006-10-06,12.17
2006-10-09,12.09
2006-10-10,11.89
2006-10-11,12.03
2006-10-12,11.51
2006-10-13,11.35
2006-10-16,11.2
2006-10-17,12.03
2006-10-18,11.83
2006-10-19,11.57
2006-10-20,11.23
2006-10-23,11.25
2006-10-24,11.27
2006-10-25,10.88
2006-10-26,10.96
2006-10-27,10.99
2006-10-30,11.43
2006-10-31,11.39
2006-11-01,11.68
2006-11-02,11.76
2006-11-03,11.43
2006-11-06,11.41
2006-11-07,11.19
2006-11-08,11.49
2006-11-09,11.07
2006-11-10,11.12
2006-11-13,11.26
2006-11-14,11.31
2006-11-15,10.61
2006-11-16,10.35
2006-11-17,10.48
2006-11-20,10.48
2006-11-21,10.06
2006-11-22,10.15
2006-11-24,10.86
2006-11-27,12.33
2006-11-28,12.55
2006-11-29,11.43
2006-11-30,11.3
2006-12-01,12.28
2006-12-04,12.01
2006-12-05,11.59
2006-12-06,11.55
2006-12-07,12.68
2006-12-08,12.67
2006-12-11,11.93
2006-12-12,11.39
2006-12-13,10.58
2006-12-14,10.75
2006-12-15,10.07
2006-12-18,10.91
2006-12-19,11.31
2006-12-20,10.33
2006-12-21,10.89
2006-12-22,11.46
2006-12-26,12.03
2006-12-27,11.12
2006-12-28,11.06
2006-12-29,11.65
2007-01-03,12.75
2007-01-04,12.42
2007-01-05,12.25
2007-01-08,12.83
2007-01-09,12.47
2007-01-10,12.5
2007-01-11,11.48
2007-01-12,10.93
2007-01-16,10.89
2007-01-17,10.9
2007-01-18,11.04
2007-01-19,11.03
2007-01-22,11.08
2007-01-23,10.94
2007-01-24,10.41
2007-01-25,11.38
2007-01-26,11.6
2007-01-29,11.6
2007-01-30,11.49
2007-01-31,11.26
2007-02-01,10.43
2007-02-02,10.36
2007-02-05,10.7
2007-02-06,10.88
2007-02-07,10.56
2007-02-08,10.91
2007-02-09,11.56
2007-02-12,11.88
2007-02-13,11.42
2007-02-14,10.26
2007-02-15,10.32
2007-02-16,10.44
2007-02-20,10.72
2007-02-21,10.53
2007-02-22,10.52
2007-02-23,10.7
2007-02-26,11.44
2007-02-27,19.01
2007-02-28,17.29
2007-03-01,19.4
2007-03-02,18.63
2007-03-05,20.41
2007-03-06,18.34
2007-03-07,16.27
2007-03-08,14.7
2007-03-09,14.62
2007-03-12,14.96
2007-03-13,18.42
2007-03-14,21.25
2007-03-15,16.91
2007-03-16,17.71
2007-03-19,15.82
2007-03-20,15.16
2007-03-21,13.67
2007-03-22,12.95
2007-03-23,13.18
2007-03-26,14.7
2007-03-27,13.9
2007-03-28,15.51
2007-03-29,16.05
2007-03-30,15.82
2007-04-02,15.46
2007-04-03,14.06
2007-04-04,13.91
2007-04-05,13.66
2007-04-09,13.56
2007-04-10,13.33
2007-04-11,14.08
2007-04-12,14.15
2007-04-13,13
2007-04-16,12.1
2007-04-17,12.17
2007-04-18,12.57
2007-04-19,13.27
2007-04-20,12.67
2007-04-23,13.08
2007-04-24,13.89
2007-04-25,13.23
2007-04-26,13.67
2007-04-27,13.26
2007-04-30,14.31
2007-05-01,14.6
2007-05-02,13.52
2007-05-03,13.36
2007-05-04,13.36
2007-05-07,13.37
2007-05-08,13.69
2007-05-09,13.5
2007-05-10,13.85
2007-05-11,13.47
2007-05-14,14.43
2007-05-15,14.3
2007-05-16,14.18
2007-05-17,13.82
2007-05-18,13.22
2007-05-21,13.3
2007-05-22,13.38
2007-05-23,13.28
2007-05-24,14.36
2007-05-25,13.87
2007-05-29,13.95
2007-05-30,14.29
2007-05-31,13.18
2007-06-01,13.01
2007-06-04,13.54
2007-06-05,14.17
2007-06-06,15.06
2007-06-07,17.09
2007-06-08,16.78
2007-06-11,15.47
2007-06-12,16.7
2007-06-13,16.1
2007-06-14,14.82
2007-06-15,13.97
2007-06-18,14.51
2007-06-19,13.8
2007-06-20,14.76
2007-06-21,15.56
2007-06-22,16.58
2007-06-25,17.24
2007-06-26,18.89
2007-06-27,18.98
2007-06-28,15.71
2007-06-29,17.13
2007-07-02,16.48
2007-07-03,15.3
2007-07-05,15.95
2007-07-06,15.59
2007-07-09,15.69
2007-07-10,17.68
2007-07-11,17.91
2007-07-12,16.39
2007-07-13,15.51
2007-07-16,15.83
2007-07-17,15.78
2007-07-18,17.06
2007-07-19,15.62
2007-07-20,18.53
2007-07-23,17.09
2007-07-24,19.09
2007-07-25,19.46
2007-07-26,23.36
2007-07-27,24.17
2007-07-30,23.64
2007-07-31,23.93
2007-08-01,26.22
2007-08-02,23
2007-08-03,25.55
2007-08-06,26.47
2007-08-07,23.74
2007-08-08,22.95
2007-08-09,26.9
2007-08-10,29.84
2007-08-13,28.02
2007-08-14,28.29
2007-08-15,31.76
2007-08-16,37.5
2007-08-17,31.46
2007-08-20,29.95
2007-08-21,26.72
2007-08-22,24.44
2007-08-23,23.61
2007-08-24,23.03
2007-08-27,22.83
2007-08-28,26.57
2007-08-29,26.02
2007-08-30,25.58
2007-08-31,24.07
2007-09-04,24.81
2007-09-05,25.45
2007-09-06,25.14
2007-09-07,26.97
2007-09-10,28.82
2007-09-11,27.21
2007-09-12,26.21
2007-09-13,25.32
2007-09-14,26.48
2007-09-17,27.08
2007-09-18,26.23
2007-09-19,20.57
2007-09-20,20.82
2007-09-21,19.81
2007-09-24,19.62
2007-09-25,20.46
2007-09-26,18.18
2007-09-27,17.47
2007-09-28,18.22
2007-10-01,18.44
2007-10-02,18.89
2007-10-03,18.99
2007-10-04,18.65
2007-10-05,17.56
2007-10-08,17.83
2007-10-09,17.28
2007-10-10,17.35
2007-10-11,19.73
2007-10-12,18.74
2007-10-15,20.01
2007-10-16,20.75
2007-10-17,20.11
2007-10-18,19.56
2007-10-19,22.96
2007-10-22,23.94
2007-10-23,21.43
2007-10-24,24.15
2007-10-25,22.4
2007-10-26,20.97
2007-10-29,20.24
2007-10-30,21.15
2007-10-31,22.09
2007-11-01,24.15
2007-11-02,25.17
2007-11-05,25.46
2007-11-06,23.74
2007-11-07,26.85
2007-11-08,29.15
2007-11-09,28.84
2007-11-12,31.09
2007-11-13,27.5
2007-11-14,27.03
2007-11-15,29.31
2007-11-16,28.12
2007-11-19,27.18
2007-11-20,27.35
2007-11-21,27.77
2007-11-23,26.42
2007-11-26,28.95
2007-11-27,28.24
2007-11-28,25.14
2007-11-29,24.61
2007-11-30,23.39
2007-12-03,24.49
2007-12-04,24.59
2007-12-05,23.03
2007-12-06,22.75
2007-12-07,21.01
2007-12-10,21.46
2007-12-11,23.7
2007-12-12,24.22
2007-12-13,24.04
2007-12-14,23.53
2007-12-17,24.86
2007-12-18,24.6
2007-12-19,22.68
2007-12-20,21.67
2007-12-21,19.82
2007-12-24,19.42
2007-12-26,19.47
2007-12-27,20.51
2007-12-28,21.05
2007-12-31,22.75
2008-01-02,24.05
2008-01-03,23.27
2008-01-04,24.3
2008-01-07,24.88
2008-01-08,25.6
2008-01-09,25.95
2008-01-10,24.61
2008-01-11,24.41
2008-01-14,23.93
2008-01-15,24.59
2008-01-16,24.38
2008-01-17,28.51
2008-01-18,29.3
2008-01-22,37.57
2008-01-23,34.42
2008-01-24,28.48
2008-01-25,29.76
2008-01-28,30.26
2008-01-29,27.96
2008-01-30,28.34
2008-01-31,28.81
2008-02-01,25.75
2008-02-04,26.03
2008-02-05,28.49
2008-02-06,29.31
2008-02-07,29.7
2008-02-08,28.89
2008-02-11,29.57
2008-02-12,27.17
2008-02-13,26.06
2008-02-14,25.64
2008-02-15,25.67
2008-02-19,26.59
2008-02-20,26.95
2008-02-21,25.45
2008-02-22,25.93
2008-02-25,25.07
2008-02-26,23.45
2008-02-27,23.01
2008-02-28,23.79
2008-02-29,26.91
2008-03-03,28.13
2008-03-04,27.42
2008-03-05,25.77
2008-03-06,27.9
2008-03-07,29.29
2008-03-10,29.73
2008-03-11,28.64
2008-03-12,27.25
2008-03-13,29.62
2008-03-14,32.89
2008-03-17,35.6
2008-03-18,32.24
2008-03-19,29.95
2008-03-20,29.84
2008-03-24,27.04
2008-03-25,26.42
2008-03-26,26.85
2008-03-27,25.98
2008-03-28,25.96
2008-03-31,26.77
2008-04-01,25.61
2008-04-02,23.65
2008-04-03,24.15
2008-04-04,23.31
2008-04-07,22.73
2008-04-08,23.16
2008-04-09,23.57
2008-04-10,23.22
2008-04-11,23.59
2008-04-14,24.35
2008-04-15,23.99
2008-04-16,22.09
2008-04-17,21.54
2008-04-18,20.37
2008-04-21,21.12
2008-04-22,21.6
2008-04-23,20.95
2008-04-24,20.77
2008-04-25,20.36
2008-04-28,20.25
2008-04-29,20.54
2008-04-30,20.81
2008-05-01,20.83
2008-05-02,19.11
2008-05-05,19.29
2008-05-06,19.57
2008-05-07,19.98
2008-05-08,19.92
2008-05-09,20.01
2008-05-12,19.48
2008-05-13,18.63
2008-05-14,17.98
2008-05-15,17.84
2008-05-16,17.92
2008-05-19,17.89
2008-05-20,18.42
2008-05-21,18.89
2008-05-22,19.11
2008-05-23,19.8
2008-05-27,20.95
2008-05-28,20.03
2008-05-29,19.17
2008-05-30,18.21
2008-06-02,20.45
2008-06-03,21
2008-06-04,21.31
2008-06-05,20.59
2008-06-06,23.79
2008-06-09,24.47
2008-06-10,24.42
2008-06-11,24.3
2008-06-12,23.98
2008-06-13,23.14
2008-06-16,22.84
2008-06-17,21.42
2008-06-18,22.86
2008-06-19,22.61
2008-06-20,23.7
2008-06-23,23.14
2008-06-24,23.48
2008-06-25,22.42
2008-06-26,23.99
2008-06-27,24.56
2008-06-30,24.26
2008-07-01,25.57
2008-07-02,25.96
2008-07-03,26.08
2008-07-07,26.91
2008-07-08,26.05
2008-07-09,25.39
2008-07-10,26.62
2008-07-11,29.44
2008-07-14,29.3
2008-07-15,30.81
2008-07-16,28.32
2008-07-17,25.5
2008-07-18,25.19
2008-07-21,24.58
2008-07-22,24.08
2008-07-23,22.08
2008-07-24,23.61
2008-07-25,23.45
2008-07-28,24.62
2008-07-29,24.22
2008-07-30,22.31
2008-07-31,22.96
2008-08-01,23.37
2008-08-04,23.86
2008-08-05,22.99
2008-08-06,21.66
2008-08-07,21.46
2008-08-08,21.69
2008-08-11,20.96
2008-08-12,21.51
2008-08-13,22.11
2008-08-14,22.3
2008-08-15,20.65
2008-08-18,21.44
2008-08-19,22.14
2008-08-20,21.67
2008-08-21,21.08
2008-08-22,19.83
2008-08-25,21.22
2008-08-26,21.27
2008-08-27,20.67
2008-08-28,19.66
2008-08-29,20.71
2008-09-02,22.3
2008-09-03,22.3
2008-09-04,24.15
2008-09-05,24.71
2008-09-08,24.06
2008-09-09,25.68
2008-09-10,25.48
2008-09-11,26.25
2008-09-12,26.67
2008-09-15,31.87
2008-09-16,33.7
2008-09-17,36.4
2008-09-18,42.16
2008-09-19,33.08
2008-09-22,34.22
2008-09-23,36.08
2008-09-24,36.71
2008-09-25,35.19
2008-09-26,36.4
2008-09-29,48.4
2008-09-30,43.8
2008-10-01,42.38
2008-10-02,46.48
2008-10-03,45.52
2008-10-06,58.24
2008-10-07,54.19
2008-10-08,59.06
2008-10-09,64.92
2008-10-10,76.94
2008-10-13,71.42
2008-10-14,59.81
2008-10-15,69.47
2008-10-16,81.17
2008-10-17,74.48
2008-10-20,70.4
2008-10-21,56.37
2008-10-22,72.56
2008-10-23,79.43
2008-10-24,89.53
2008-10-27,81.65
2008-10-28,78.98
2008-10-29,71.14
2008-10-30,69.83
2008-10-31,65.85
2008-11-03,60.77
2008-11-04,53.68
2008-11-05,55.62
2008-11-06,64.78
2008-11-07,63.68
2008-11-10,62.09
2008-11-11,64.73
2008-11-12,67.19
2008-11-13,69.99
2008-11-14,66.31
2008-11-17,69.59
2008-11-18,73.13
2008-11-19,75
2008-11-20,81.48
2008-11-21,80.74
2008-11-24,71.35
2008-11-25,65.49
2008-11-26,62.5
2008-11-28,56.82
2008-12-01,68.6
2008-12-02,67.01
2008-12-03,65.37
2008-12-04,65.08
2008-12-05,66.54
2008-12-08,59.87
2008-12-09,59.57
2008-12-10,58.91
2008-12-11,56.44
2008-12-12,58.84
2008-12-15,58.49
2008-12-16,56.76
2008-12-17,52.19
2008-12-18,49.84
2008-12-19,46.01
2008-12-22,46.69
2008-12-23,45.39
2008-12-24,45.02
2008-12-26,44.36
2008-12-29,46.24
2008-12-30,44.29
2008-12-31,41.63
2009-01-02,39.82
2009-01-05,40.22
2009-01-06,39.33
2009-01-07,43.82
2009-01-08,44.6
2009-01-09,43.13
2009-01-12,46.62
2009-01-13,47.08
2009-01-14,51.55
2009-01-15,55.16
2009-01-16,51
2009-01-20,57.36
2009-01-21,54.12
